rank,restaurant_name,location,address,ratings,lat_long,lat,long,link
47,La Dame de Pic London,London,"10 Trinity Square, London, EC3N 4AJ",4.6,"(51.51030765, -0.07832307118395632)",51.51030765,-0.07832307118395632,https://www.leadingrestaurants.co.uk/restaurants/la-dame-de-pic-london-ec3n-4aj/
48,Zuma,London,"5 Raphael Street, Knightsbridge, London, SW7 1DL",4.6,"(51.5009278, -0.1631825)",51.5009278,-0.1631825,https://www.leadingrestaurants.co.uk/restaurants/zuma-sw7-1dl/
49,Fordwich Arms,Canterbury,"1647 King Street, Sturry, Canterbury, CT2 0DB",4.4,"(51.2951414, 1.1253071)",51.2951414,1.1253071,https://www.leadingrestaurants.co.uk/restaurants/fordwich-arms-ct2-0db/
50,Lympstone Manor,Exmouth,"Courtlands Lane, Exmouth, EX8 3NZ",4.7,"(50.6418105, -3.4197468)",50.6418105,-3.4197468,https://www.leadingrestaurants.co.uk/restaurants/lympstone-manor-ex8-3nz/
51,Lake Road Kitchen,Ambleside,"Lake Road, Ambleside, LA22 0AD",4.8,"(54.4304873, -2.9622948)",54.4304873,-2.9622948,https://www.leadingrestaurants.co.uk/restaurants/lake-road-kitchen-la22-0ad/
52,Purnell's,Birmingham,"55 Cornwall Street, Birmingham, B3 2DH",4.7,"(52.4826617, -1.9018277741232703)",52.4826617,-1.9018277741232703,https://www.leadingrestaurants.co.uk/restaurants/purnells-b3-2dh/
53,Roski,Liverpool,"16 Rodney Street, Liverpool, L1 2TE",4.8,"(53.4018472, -2.9732715)",53.4018472,-2.9732715,https://www.leadingrestaurants.co.uk/restaurants/roski-l1-2te/
54,Paul Ainsworth at No. 6,Padstow,"6 Middle Street, Padstow, PL28 8AP",4.8,"(50.541273, -4.9398507)",50.541273,-4.9398507,https://www.leadingrestaurants.co.uk/restaurants/paul-ainsworth-at-no-6-pl28-8ap/
55,Raby Hunt,Darlington,"Summerhouse, Darlington, DL2 3UD",4.7,"(54.567402, -1.6888651)",54.567402,-1.6888651,https://www.leadingrestaurants.co.uk/restaurants/raby-hunt-dl2-3ud/
56,The Whitebrook,Monmouth,"Whitebrook, Monmouth, NP25 4TX",4.7,"(51.759750,-2.6866026)",51.75975,-2.6866026,https://www.leadingrestaurants.co.uk/restaurants/the-whitebrook-np25-4tx/
57,Bohemia,Jersey,"Green Street, St Helier, Jersey, JE2 4UH",4.5,"(49.181335,-2.1028661)",49.181335,-2.1028661,https://www.leadingrestaurants.co.uk/restaurants/bohemia-je2-4uh/
58,Stark,Broadstairs,"1 Oscar Road, Broadstairs, CT10 1QJ",4.9,"(51.356740,1.4406849)",51.35674,1.4406849,https://www.leadingrestaurants.co.uk/restaurants/stark-ct10-1qj/
59,La Petite Maison,London,"54 Brooks Mews, London, W1K 4EG",4.6,"(51.5126169, -0.1461126)",51.5126169,-0.1461126,https://www.leadingrestaurants.co.uk/restaurants/la-petite-maison-w1k-4eg/
60,21212,Edinburgh,"3 Royal Terrace, Edinburgh, EH7 5AB",4.3,"(55.9567618, -3.1807104)",55.9567618,-3.1807104,https://www.leadingrestaurants.co.uk/restaurants/21212-eh7-5ab/
61,AW Restaurant at The Westbury Mayfair Hotel [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
62,Ikoyi,London,"1 St. James's Market, London, SW1Y 4AH",4.5,"(51.509203,-0.1332106)",51.509203,-0.1332106,https://www.leadingrestaurants.co.uk/restaurants/ikoyi-sw1y-4ah/
63,Ynyshir,Machynlleth,"Eglwys Fach, Machynlleth, SY20 8TA",4.8,"(52.545178,-3.9417511)",52.545178,-3.9417511,https://www.leadingrestaurants.co.uk/restaurants/ynyshir-sy20-8ta/
64,Hunan,London,"51 Pimlico Road, London, SW1W 8NE",4.4,"(51.49045925, -0.15280410649137816)",51.49045925,-0.15280410649137816,https://www.leadingrestaurants.co.uk/restaurants/hunan-sw1w-8ne/
65,A. Wong,London,"70 Wilton Road, Victoria, London, SW1V 1DE",4.4,"(51.49299785, -0.14053972487560257)",51.49299785,-0.14053972487560257,https://www.leadingrestaurants.co.uk/restaurants/a-wong-sw1v-1de/
66,Roka Charlotte Street,London,"37 Charlotte Street, London, W1T 1RR",4.4,"(51.5194605, -0.1357715)",51.5194605,-0.1357715,https://www.leadingrestaurants.co.uk/restaurants/roka-charlotte-street-w1t-1rr/
67,Chez Bruce,London,"2 Bellevue Road, Wandsworth Common, London, SW17 7EG",4.8,"(51.446018,-0.1655464)",51.446018,-0.1655464,https://www.leadingrestaurants.co.uk/restaurants/chez-bruce-sw17-7eg/
68,1921 Angel Hill,Bury St Edmunds,"19-21 Angel Hill, Bury St Edmunds, IP33 1UZ",4.7,"(52.245754399999996, 0.7172300715807112)",52.245754399999996,0.7172300715807112,https://www.leadingrestaurants.co.uk/restaurants/1921-angel-hill-ip33-1uz/
69,Elystan Street,London,"43 Elystan Street, Chelsea, London, SW3 3NT",4.7,"(51.4916305, -0.1677674)",51.4916305,-0.1677674,https://www.leadingrestaurants.co.uk/restaurants/elystan-street-sw3-3nt/
70,Street XO [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
71,Ooty [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
72,The Black Swan at Oldstead,York,"Oldstead, York, YO61 4BL",4.8,"(54.212745,-1.1865790)",54.212745,-1.186579,https://www.leadingrestaurants.co.uk/restaurants/the-black-swan-at-oldstead-yo61-4bl/
73,Restaurant MCR [CLOSED],Manchester,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
74,Gravetye Manor Hotel,East Grinstead,"Vowels Lane, West Hoathly, East Grinstead, RH19 4LJ",4.8,"(51.0965057, -0.0612308)",51.0965057,-0.0612308,https://www.leadingrestaurants.co.uk/restaurants/gravetye-manor-hotel-rh19-4lj/
75,Number One at The Balmoral,Edinburgh,"1 Princes Street, Edinburgh, EH2 2EQ",4.6,"(55.9529802, -3.1892083)",55.9529802,-3.1892083,https://www.leadingrestaurants.co.uk/restaurants/number-one-at-the-balmoral-eh2-2eq/
76,Babur,London,"119 Brockley Rise, Forest Hill, London, SE23 1JP",4.6,"(51.447451,-0.0418371)",51.447451,-0.0418371,https://www.leadingrestaurants.co.uk/restaurants/babur-se23-1jp/
77,The Blackbird [CLOSED],Bagnor,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
78,The Sportsman,Whitstable,"Faversham Road, Seasalter, Whitstable, CT5 4BP",4.6,"(51.3462974, 0.9834153)",51.3462974,0.9834153,https://www.leadingrestaurants.co.uk/restaurants/the-sportsman-ct5-4bp/
79,Club Gascon,London,"57 West Smithfields, London, EC1A 9DS",4.6,"(51.518624, -0.1000500)",51.518624,-0.10005,https://www.leadingrestaurants.co.uk/restaurants/club-gascon-ec1a-9ds/
80,The Moorcock Inn,Sowerby Bridge,"Moorbottom Lane, Norland, Sowerby Bridge, HX6 3RP",4.7,"(53.692762,-1.9180448)",53.692762,-1.9180448,https://www.leadingrestaurants.co.uk/restaurants/the-moorcock-inn-hx6-3rp/
81,Northcote,Blackburn,"Northcote Road, Langho, Blackburn, BB6 8BE",4.7,"(53.80922925, -2.4474884720905594)",53.80922925,-2.4474884720905594,https://www.leadingrestaurants.co.uk/restaurants/northcote-bb6-8be/
82,The Frog Hoxton [CLOSED],London,closed,closed,"(18.5324119, -68.6732965)",18.5324119,-68.6732965,
83,Midsummer House,Cambridge,"Midsummer Common, Cambridge, CB4 1HA",4.7,"(52.2105227, 0.12954817906232638)",52.2105227,0.12954817906232638,https://www.leadingrestaurants.co.uk/restaurants/midsummer-house-cb4-1ha/
84,Trinity Restaurant,London,"4 The Polygon, Clapham, London, SW4 0JG",4.7,"(51.4634296, -0.1414943)",51.4634296,-0.1414943,https://www.leadingrestaurants.co.uk/restaurants/trinity-restaurant-sw4-0jg/
85,The Ninth,London,"22 Charlotte Street, London, W1T 2NB",4.5,"(51.5187999, -0.13482519999999998)",51.5187999,-0.13482519999999998,https://www.leadingrestaurants.co.uk/restaurants/the-ninth-w1t-2nb/
86,Caractere,London,"209 Westbourne Park Road, London, W11 1EA",4.8,"(51.5178482, -0.2008117)",51.5178482,-0.2008117,https://www.leadingrestaurants.co.uk/restaurants/caractere-w11-1ea/
87,Skosh,York,"98 Micklegate, York, YO1 6JX",4.8,"(53.9568478, -1.0895837)",53.9568478,-1.0895837,https://www.leadingrestaurants.co.uk/restaurants/skosh-yo1-6jx/
88,Seven Park Place by William Drabble,London,"7-8 Park Place, London, SW1A 1LS",4.5,"(51.506121, -0.1402233)",51.506121,-0.1402233,https://www.leadingrestaurants.co.uk/restaurants/seven-park-place-by-william-drabble-sw1a-1lp/
89,Indian Essence,London,"176-178 Petts Wood Road, Petts Wood, London, BR5 1LG",4.5,"(51.3903227, 0.075521)",51.3903227,0.075521,https://www.leadingrestaurants.co.uk/restaurants/indian-essence-br5-1lg/
